Modelo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,Brier_mean,Brier_std
CatBoost,0.9280357861267315,0.0035361492802437025,0.84534119706205,0.017970803590799538,0.5445149625935162,0.028678712617714708,0.661865679086767,0.022109333261762308,0.8748587772485807,0.011231983815090787,0.060192395929943736,0.0024740570058570696
Neural Net,0.9268719428381664,0.0033328158075057028,0.8578282944798511,0.028070514250299466,0.5233593516209476,0.027128782420689862,0.6493649633950489,0.0199938790385605,0.8741665355809306,0.01231458559545147,0.060610597704451354,0.002615759796845259
Logistic Regression,0.8650459374975835,0.005606543595627999,0.48627605484600195,0.014326089231470293,0.7193645885286784,0.020819626859809495,0.5801215460412246,0.013779859708882616,0.8734106281786854,0.012296732383890813,0.11386040744421246,0.0022239635181454925
Linear SVM,0.927350346540168,0.0035558044743733215,0.8530672407978693,0.01775819929894377,0.5309446384039901,0.026847304227661944,0.6541050275073349,0.02193269053385135,0.8705808201366722,0.012888838002740547,0.060475321490048695,0.0024205004872330464
XGBoost,0.9275702228962913,0.003041466648554614,0.8408155635268771,0.01760390635322955,0.5444194513715711,0.024815806384057008,0.6604890622744789,0.018757993750775394,0.8703926989971623,0.011534348065342214,0.06147069104445681,0.0026336313162510705
AdaBoost,0.9270142371654324,0.0034383110340352498,0.8223545327924677,0.02028177259899404,0.5575882793017457,0.02606641719931599,0.6641277779160174,0.01967256551588807,0.8684350519091175,0.011074587925486493,0.14507681817333784,0.002778405048950603
Balanced Random Forest,0.8500969911205547,0.005778502472940628,0.45187422604492444,0.012404088166238078,0.7309421446384039,0.01920659637520396,0.5583008611904625,0.011130838710867922,0.8657405725674443,0.00894157279087321,0.1397906139817882,0.0023362171040668743
QDA,0.9184534755482437,0.004705025845892524,0.7521627480346484,0.030154858536897294,0.5543957605985037,0.028948580351225186,0.6376862648360767,0.022721161398051876,0.8566630750636294,0.010301867677031137,0.0701485346947039,0.003934184779588853
Random Forest,0.9272599073203855,0.0033945623586145897,0.867021158203228,0.019764262800516363,0.5185703241895262,0.028467234042553108,0.6483943258286997,0.022382254038007945,0.8545350521983432,0.010378362311795175,0.06440577067311497,0.0022233985173179963
Calibrated Random Forest,0.9271305412413416,0.003195241009635994,0.8788379651695613,0.023009518944761314,0.5083900249376558,0.028442302727174292,0.6434402821443388,0.021735331877031704,0.8529616244808217,0.012109835477136545,0.06338330667254018,0.0026920361859215317
RBF SVM,0.9254752907654145,0.003303574751262081,0.8984553324205824,0.020020733407367652,0.47924463840399,0.024565720484427313,0.6246453326327898,0.021879082485695475,0.8468384363219387,0.01213575523195656,0.0625432746111968,0.002728797319763626
Nearest Neighbors,0.9197465678803043,0.003419889908193883,0.8569418659189778,0.017725820743694613,0.45708852867830424,0.02664543571668629,0.595703273866913,0.023913795490058662,0.7933014367735863,0.012104122331274315,0.07444816731736342,0.002297685880156198
Decision Tree,0.8751584943460337,0.005622687439820279,0.5175419127011563,0.02061506322289764,0.5471177057356608,0.02451557998456724,0.5317276642753017,0.020000894065520098,0.7355845998898282,0.012681268212492963,0.1248479739579186,0.005618080897561609
Naive Bayes,0.1738263121409125,0.01383319811347965,0.13386389586113973,0.0018905286379653947,0.9825354114713217,0.008758645212505484,0.23561931577871864,0.002976587632285046,0.5538471051207788,0.03371572566330609,0.8248864503292439,0.0138872983606035
Dummy (prior),0.8704254513862547,0.00012618198560312326,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.11278499392059924,9.346913200026203e-05
